run_id,timestamp,cpu_model,cpu_cores,cpu_frequency,total_ram,gpu_model,operating_system,drl_algorithm,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,cumulative_reward_mean,time_elapased_seconds
run_batch_size1_buffer_size100,2026-01-14T12:34:17Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,57.290008,275.000
run_batch_size1_buffer_size2500,2026-01-14T12:38:55Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,2500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,77.166679,269.000
run_batch_size1_buffer_size4900,2026-01-14T12:43:27Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,4900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,24.504448,271.000
run_batch_size1_buffer_size7300,2026-01-14T12:48:01Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,7300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,8.278401,263.000
run_batch_size1_buffer_size9700,2026-01-14T12:52:28Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,9700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,2.932550,309.000
run_batch_size1_buffer_size12100,2026-01-14T12:57:42Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,12100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.868317,314.000
run_batch_size1_buffer_size14500,2026-01-14T13:03:00Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,14500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.866420,298.000
run_batch_size1_buffer_size16900,2026-01-14T13:08:02Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,16900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.696503,237.000
run_batch_size1_buffer_size19300,2026-01-14T13:12:03Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,19300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.717136,260.000
run_batch_size1_buffer_size21700,2026-01-14T13:16:28Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,21700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.509348,299.000
run_batch_size26_buffer_size100,2026-01-14T13:21:31Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,26,100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,85.657156,37.000
run_batch_size26_buffer_size2500,2026-01-14T13:22:13Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,26,2500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,100.000015,44.000
run_batch_size26_buffer_size4900,2026-01-14T13:23:02Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,26,4900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,26.486051,41.000
run_batch_size26_buffer_size7300,2026-01-14T13:23:47Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,26,7300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,7.740001,40.000
run_batch_size26_buffer_size9700,2026-01-14T13:24:31Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,26,9700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,2.757878,41.000
run_batch_size26_buffer_size12100,2026-01-14T13:25:16Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,26,12100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,2.405848,40.000
run_batch_size26_buffer_size14500,2026-01-14T13:26:00Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,26,14500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.672917,41.000
run_batch_size26_buffer_size16900,2026-01-14T13:26:45Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,26,16900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.865842,36.000
run_batch_size26_buffer_size19300,2026-01-14T13:27:26Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,26,19300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.624318,38.000
run_batch_size26_buffer_size21700,2026-01-14T13:28:08Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,26,21700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.256974,41.000
run_batch_size51_buffer_size100,2026-01-14T13:28:53Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,51,100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,84.192870,31.000
run_batch_size51_buffer_size2500,2026-01-14T13:29:27Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,51,2500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,80.013345,34.000
run_batch_size51_buffer_size4900,2026-01-14T13:30:04Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,51,4900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,12.948237,33.000
run_batch_size51_buffer_size7300,2026-01-14T13:30:41Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,51,7300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,4.011305,36.000
run_batch_size51_buffer_size9700,2026-01-14T13:31:23Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,51,9700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,2.343103,37.000
run_batch_size51_buffer_size12100,2026-01-14T13:32:04Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,51,12100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,2.000000,38.000
run_batch_size51_buffer_size14500,2026-01-14T13:32:47Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,51,14500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.762768,36.000
run_batch_size51_buffer_size16900,2026-01-14T13:33:27Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,51,16900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.631364,33.000
run_batch_size51_buffer_size19300,2026-01-14T13:34:04Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,51,19300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.399582,35.000
run_batch_size51_buffer_size21700,2026-01-14T13:34:43Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,51,21700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.301000,35.000
run_batch_size76_buffer_size100,2026-01-14T13:35:23Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,76,100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,66.963169,33.000
run_batch_size76_buffer_size2500,2026-01-14T13:36:00Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,76,2500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,70.005893,35.000
run_batch_size76_buffer_size4900,2026-01-14T13:36:40Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,76,4900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,14.168495,35.000
run_batch_size76_buffer_size7300,2026-01-14T13:37:19Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,76,7300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,3.669841,34.000
run_batch_size76_buffer_size9700,2026-01-14T13:37:58Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,76,9700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,2.378551,33.000
run_batch_size76_buffer_size12100,2026-01-14T13:38:35Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,76,12100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.718779,31.000
run_batch_size76_buffer_size14500,2026-01-14T13:39:10Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,76,14500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.791084,28.000
run_batch_size76_buffer_size16900,2026-01-14T13:39:42Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,76,16900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.748456,31.000
run_batch_size76_buffer_size19300,2026-01-14T13:40:18Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,76,19300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.485560,35.000
run_batch_size76_buffer_size21700,2026-01-14T13:40:58Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,76,21700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.296407,34.000
run_batch_size101_buffer_size100,2026-01-14T13:41:36Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,101,100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,72.252953,28.000
run_batch_size101_buffer_size2500,2026-01-14T13:42:08Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,101,2500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,37.989661,29.000
run_batch_size101_buffer_size4900,2026-01-14T13:42:41Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,101,4900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,13.791252,30.000
run_batch_size101_buffer_size7300,2026-01-14T13:43:16Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,101,7300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,4.399074,31.000
run_batch_size101_buffer_size9700,2026-01-14T13:43:52Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,101,9700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,2.195879,34.000
run_batch_size101_buffer_size12100,2026-01-14T13:44:31Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,101,12100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.751781,33.000
run_batch_size101_buffer_size14500,2026-01-14T13:45:08Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,101,14500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.621315,32.000
run_batch_size101_buffer_size16900,2026-01-14T13:45:44Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,101,16900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.444374,31.000
run_batch_size101_buffer_size19300,2026-01-14T13:46:19Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,101,19300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.571047,34.000
